-24	-19.6	2	3
-24	-19	2	0
-24	-18.4	2	0
-24	-17.8	2	0
-24	-17.2	2	0
-24	-16.6	2	2
-23.4	-19.6	2	0
-23.4	-19	2	0
-23.4	-18.4	2	0
-23.4	-17.8	2	0
-23.4	-17.2	2	0
-23.4	-16.6	2	0
-22.8	-19.6	2	0
-22.8	-19	2	0
-22.8	-18.4	2	0
-22.8	-17.8	2	0
-22.8	-17.2	2	0
-22.8	-16.6	2	0
-22.2	-19.6	2	0
-22.2	-19	2	0
-22.2	-18.4	2	0
-22.2	-17.8	2	0
-22.2	-17.2	2	0
-22.2	-16.6	2	0
-21.6	-19.6	2	4
-21.6	-19	2	0
-21.6	-18.4	2	0
-21.6	-17.8	2	0
-21.6	-17.2	2	0
-21.6	-16.6	2	0
-21	-17.8	2	4
-21	-17.2	2	0
-21	-16.6	2	1

-23	18	0	1
-29	20	0	0
-15	26	0	0
-12	20	0	0
-6	22	0	0
19	17	0	1

-14.6	-24	2	3
-14.6	-23.4	2	0
-14.6	-22.8	2	2
-14	-24.6	2	3
-14	-24	2	0
-14	-23.4	2	0
-14	-22.8	2	0
-13.4	-24.6	2	0
-13.4	-24	2	0
-13.4	-23.4	2	0
-13.4	-22.8	2	1
-12.8	-24.6	2	0
-12.8	-24	2	1

35.2	-1.2	2	4
35.2	-0.6	2	0
35.2	0	2	1
34.6	-1.2	2	0
34.6	-0.6	2	0
34.6	0	2	0
34	0.6	2	1
34	0	2	0
34	-0.6	2	0
34	-1.2	2	3
33.4	0.6	2	0
33.4	0	2	0
33.4	-0.6	2	0
32.8	0.6	2	0
32.8	0	2	0
32.8	-0.6	2	0
32.2	-0.6	2	3
32.2	0	2	0
32.2	0.6	2	2





-19	-8	0	0
-19.5	-7	0	0
-15	-4.5	0	0
-14	-8.5	0	0

4	3	0	0
3	3.5	0	1
11	0	0	0
16	-4	0	0
8	-6	0	1
1.5	-14	0	0
6	8	0	0
18	6	0	0
14	15	0	1
24	2	0	0
28	-4	0	0
30	10	0	0
35	7	0	0
27	-17	0	0
23	-10	0	0

-23.5	2.5	0	0
-23.5	0.5	0	0
-20.5	2.5	0	0
